2017-10-22 10:31:28.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:32:28.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:33:28.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:34:28.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:35:29.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:36:30.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:37:30.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:38:31.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:39:31.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:40:32.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:41:32.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:42:32.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:43:33.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:44:33.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:45:33.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:46:33.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:47:34.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:48:35.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:49:36.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:50:37.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:51:38.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:52:39.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:53:39.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:54:39.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:55:40.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:56:40.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:57:41.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:58:42.000000,5549.5648N,00313.1407W,233.0,0,-0.0
2017-10-22 10:59:43.000000,5549.5852N,00313.1455W,226.3,0,-0.0
2017-10-22 11:00:43.000000,5549.5852N,00313.1455W,226.3,0,-0.0
2017-10-22 11:01:44.000000,5549.5852N,00313.1455W,226.3,0,-0.0
2017-10-22 11:02:45.000000,5549.5852N,00313.1455W,226.3,0,-0.0
2017-10-22 11:03:46.000000,5549.5852N,00313.1455W,226.3,0,-0.0
2017-10-22 11:04:47.000000,5549.5852N,00313.1455W,226.3,0,-0.0
2017-10-22 11:05:47.000000,5549.5852N,00313.1455W,226.3,0,-0.0
2017-10-22 11:06:48.000000,5549.5852N,00313.1455W,226.3,0,-0.0
2017-10-22 11:07:48.000000,5549.5852N,00313.1455W,226.3,0,-0.0
2017-10-22 11:08:49.000000,5549.5852N,00313.1455W,226.3,0,-0.0
2017-10-22 11:09:50.000000,5549.5852N,00313.1455W,226.3,0,-0.0
2017-10-22 11:10:50.000000,5549.5852N,00313.1455W,226.3,0,-0.0
2017-10-22 11:11:51.000000,5549.5852N,00313.1455W,226.3,0,-0.0
2017-10-22 11:12:52.000000,5549.5677N,00313.1131W,254.0,0,-0.0
2017-10-22 11:13:52.000000,5549.5677N,00313.1131W,254.0,0,-0.0
2017-10-22 11:14:53.000000,5549.5722N,00313.1171W,253.0,0,-0.0
2017-10-22 11:15:53.000000,5549.5722N,00313.1171W,253.0,0,-0.0
2017-10-22 11:16:54.000000,5549.5722N,00313.1171W,253.0,0,-0.0
2017-10-22 11:17:54.000000,5549.5608N,00313.1049W,255.6,0,-0.0
2017-10-22 11:18:55.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:19:56.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:20:56.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:21:57.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:22:58.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:23:58.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:24:58.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:25:59.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:27:0.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:28:0.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:29:0.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:30:1.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:31:2.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:32:2.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:33:3.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:34:3.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:35:4.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:36:4.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:37:4.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:38:5.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:39:6.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:40:7.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:41:7.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:42:8.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:43:9.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:44:9.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:45:10.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:46:10.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:47:11.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:48:11.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:49:11.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:50:12.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:51:13.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:52:14.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:53:14.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:54:15.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:55:15.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:56:16.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:57:17.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:58:17.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 11:59:18.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 12:00:19.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 12:01:19.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 12:02:19.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 12:03:20.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 12:04:20.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 12:05:21.000000,5549.5666N,00313.1136W,255.2,0,-0.0
2017-10-22 12:06:21.000000,5549.5666N,00313.1136W,255.2,0,-0.0
